"Don't invent an image, when start a romantic relationship with a girl or guy .

","Behave as usual. You cant maintain your uncharacteristic behavior for a long time.
"
"Put dishes after eating in the sink and pour with hot water if you are feel too lazy, to wash them.","When the desire to wash dishes will appear, you will spend on it much less energy, water and detergent."
Set the clock for a few minutes ahead if you are constantly come late.,"It is self-deception, but still helps."
Off the glasses a few seconds before to enter into the heat from the cold  - this way glasses will not  get sweat.,"Take glasses by  the ear pieces, not by the frame."
Try openly pronounce your line of thought in relationships.,"Only those, who love to manipulate with people, act secretly and dishonest."
"Stop freaking out, if you have  hard times in the relationships."," The ""critical times"" happen in any relationships, when things are not as smooth as we would like. This is get old with time.
"
" Once in the new company, wait a bit, before  build relationships and connections with all of its members.","Stay passive observer for a few days. Then you will be able to make an decision, with whom you want to start a relationships and whom to avoid."
"Don't give birth to children, just to save the relationship.","The person, who don't  want to be with you, sooner or later will go away, and the child will suffer."
Don't do a tattoo with the name of a loved one.,The relationships with a person may continue just  a few months. Remove a tattoo would be difficult.
Stay friendly to the others in any mood.,Even when you are tired after hard work day.
"Don't need to get in into other people's relationships, you will always stay a fool.",Everyone is free to do what he wants with his lives. Uninvited help will be equivalent to sabotage.
No one owes  anything. ,"Forget the word ""must."" Otherwise, you really will be in debt, and not only  in financial, but also in moral sense."
"Get enough sleep, drink more water and eat fruits.","Healthy rest, clean water and natural products will safe your youthfulness."
