Положите пару чайных пакетиков в сумку со спортивной одеждой или в обувь - и избавитесь от неприятного запаха.,"Можете класть пакетики на ночь перед тем, как брать сумку с собой."
Когда ходите по магазинам наденьте наушники и продавцы не будут вас доставать.,При этом музыку в наушниках включать не обязательно.
"Доставать на кассе покупки из тележки гораздо легче, если вы развернёте тележку поручнем от себя.","Как правило, передняя стенка тележки гораздо ниже."
"Чтобы определить, впору ли покупаемые носки, оберни их вокруг кулака. ",Если пятка сошлась с носком — бери!
"Если вам надоело каждый раз выискивать в сумке ключи, купите себе брелок-ретрактор.",Он стоит недорого и позволяет найти ключи за считанные секунды.
"После удара, чтобы не вышел синяк, приложите ватку с яблочным уксусом.","Синяка не будет, или будет меньше."
"Стрелка возле значка колонки (заправки), указывает с какой стороны находится горловина заправочного бака.",Далеко не все  знают об этой маленькой хитрости.
Натуральные 100% соки без сахара консервантов и вкусовых добавок продаются в отделах детского питания.,"Такие соки будут особенно полезны тем, кто находится на диете и занимается спортом."
"Чтобы винтики в ваших очках не выкручивались со времнем, нанесите небольшое количества лака для ногтей на резьбу винта и закрутите.",Используйте бесцветный качественный лак.
"Если надо быстрее зарядить телефон от обычной зарядки → включите функцию режим ""В самолете"".",Так вы отключите соединение с сотовой сетью.
"Физические упражнения прокачивают не только тело, но и мозг.","Мозг сам начинает подсказывать какие привычки, мысли, чувства, еда ценнее."
"Если нужно быстро остудить горячий чай или кофе, положите в чашку с 3-4 чайных ложки или 1-2 столовых.",Также можно использовать более широкую чашку.
Ещё с вечера кладите на батарею вещи в которых планируете пойти завтра на работу и одеваться утром будет гораздо приятнее.,"Имеется ввиду настенная батарея, а не электрическая!"
"Ты – это среднее арифметическое пяти людей, с которыми ты общаешься больше всего.",Ваше окружение формирует вас. Изменяйте его к лучшему.
Проверяйте цены на thepricegeek.com и ebay.com перед продажей или покупкой товаров за границей.,Так вы сможете оценить адекватность текущей цены товара и целесообразность покупки или продажи.
"В отношених нужно давать столько свободы, чтобы человек сам хотел все чаще бывать рядом.","Не пытайтесь навязать себя больше, чем может выдержать человек. Каждому нужно личное время."
"Если ваш телефон ненароком упал в воду, ни в коем случае не сушите его с помощью различных батарей."," Единственное, что можно сделать - это по возможности разобрать его и вытереть все участки, на которых присутствует вода, собрать его и пользоваться дальше."
Нанесите бесцветный лак для ногтей в центр пуговицы.,Это сохранит нитки от разматывания или истирания.
"Если не умеете подтягиваться, первые дня три просто висите на турнике.
Если не умеете подтягиваться, первые дня три просто висите на турнике.
Если не умеете подтягиваться, первые дня три просто висите на турнике.
Если не умеете подтягиваться, первые дня три просто висите на турнике.
",Через эти самые три дня с большой вероятностью вы сможете подтянуться один раз. Потом просто прибавляйте каждые три дня по одному подтягиванию. Через месяц не узнаете себя.
"Не запивайте жирную пищу холодными напитками.
Не запивайте жирную пищу холодными напитками.
Не запивайте жирную пищу холодными напитками.
Не запивайте жирную пищу холодными напитками.
",Особенно пивом или газировкой!
"Если очень хочется пить — пейте чистую негазированную воду.
Если очень хочется пить — пейте чистую негазированную воду.
Если очень хочется пить — пейте чистую негазированную воду.
Если очень хочется пить — пейте чистую негазированную воду.
","Газировки, особенно сладкие, или соки, жажды толком не утоляют, в них слишком много посторонних примесей и сахара."
Вежливость и улыбка покоряют города. ,Пользуйтесь улыбкой чаще.
Научись плавать. Или хотя бы не тонуть. ,"Плавание — несложное занятие, которое спасает жизнь, а также оздоровляет организм и стройнит фигуру."
"Если ты что-нибудь хочешь спросить, вполне достаточно об этом сказать.
Если ты что-нибудь хочешь спросить, вполне достаточно об этом сказать.
Если ты что-нибудь хочешь спросить, вполне достаточно об этом сказать.
Если ты что-нибудь хочешь спросить, вполне достаточно об этом сказать.
","Обходные вопросы не срабатывают, простые вопросы, замаскированные ужимками — тоже. Скажи просто, чего ты хочешь."
"Не думай, что нарушая правила ты выглядишь смелее других.",Скорее ты выглядишь глупее и безрассуднее.
"Старайся не использовать в речи слова, значение которых ты не знаешь точно.
Старайся не использовать в речи слова, значение которых ты не знаешь точно.
Старайся не использовать в речи слова, значение которых ты не знаешь точно.
Старайся не использовать в речи слова, значение которых ты не знаешь точно.
",Часто это выглядит весьма глупо.
"Не навязывайте помощь тому, кому ваша помощь на самом деле не нужна.
Не навязывайте помощь тому, кому ваша помощь на самом деле не нужна.
Не навязывайте помощь тому, кому ваша помощь на самом деле не нужна.
Не навязывайте помощь тому, кому ваша помощь на самом деле не нужна.
","Как минимум это не оценят, как максимум сядут на шею или обвинят во всех неудачах."
"Позвоните родителям!
Позвоните родителям!
Позвоните родителям!
Позвоните родителям!
","Если вы живёте отдельно от родителей, то, скорее всего, вы нечасто вспоминаете о них и редко им звоните. Проявите немного уважения и позвоните им. Им будет приятно, а ваша карма значительно улучшитс"
"Прежде чем спросить у людей, спроси у поисковой системы.","Google еще никому не отказывал, а только помогал."
Не выясняй отношений с друзьями на ночь глядя.,Будет досадно оставить ссору открытой на ночь.
"Будь тактичнее.
Будь тактичнее.
Будь тактичнее.
Будь тактичнее.
","Оттого, что ты ещё раз надавишь на больное место человека, лучше никому не станет."
"Проветри комнату перед сном.
Проветри комнату перед сном.
Проветри комнату перед сном.
Проветри комнату перед сном.
",На свежем воздухе лучше спится.
"Если не знаешь, как поступить, подбрось монетку.
Если не знаешь, как поступить, подбрось монетку.
Если не знаешь, как поступить, подбрось монетку.
","Не для того, чтобы она за тебя решила, а чтобы глянуть на результат — и понять, чего ты на самом деле хочешь."
"Умейте вовремя сказать ""Извини"".
Умейте вовремя сказать ""Извини"".
Умейте вовремя сказать ""Извини"".
","Это часто может спасти от ссоры, не будьте баранами на мосту."
"Положите презерватив в кошелёк.
Положите презерватив в кошелёк.
Положите презерватив в кошелёк.
",Внезапное его отсутствие будет неприятно.
Уважай чужую религию и не лезь к окружающим со своей.,Особенно не лезьте с религией к детям.
"Выключай звук мобильного телефона, когда сидишь в зале кинотеатра.",Не мешай другим смотреть кино.
"Не стесняйся радоваться своим успехам, даже небольшим.",Любой успех - это шаг вперед к вашей цели.
Вставайте сбоку от дверей лифта/автобуса/вагона метро.,"Кто-то будет из них выходить, выпустите всех прежде чем входить!"
"Едете в другую страну? Выучите слово ""спасибо"" на местном языке.
Едете в другую страну? Выучите слово ""спасибо"" на местном языке.
Едете в другую страну? Выучите слово ""спасибо"" на местном языке.
","Местные жители будут рады услышать ""спасибо"", произнесённое на их родном языке, пусть даже и коряво произнесённое."
"Переходя через дорогу, смотрите не на светофор, а на машины.
Переходя через дорогу, смотрите не на светофор, а на машины.
Переходя через дорогу, смотрите не на светофор, а на машины.
",Светофоры еще никого не сбивали.
"Носишь линзы? Всегда носи с собой контейнер для них.
Носишь линзы? Всегда носи с собой контейнер для них.
Носишь линзы? Всегда носи с собой контейнер для них.
","Никогда не знаешь, как и где закончится вечер."
"Облаивающих вас бродячих собак можно отогнать, притворившись, будто вы поднимаете с земли камень и собираетесь в них его кинуть.",Ни в коем случае не отворачивайтесь от собак.
"Не ходи голодным за продуктами.
Не ходи голодным за продуктами.
Не ходи голодным за продуктами.
","Лучше скушать бутерброд или шоколадку перед походом за продуктами, чем, вернувшись из магазина, обнаружить, что ты купил пять пачек чипсов, сникерс и доширак."
"Не играйте на чужом поле.
Не играйте на чужом поле.
Не играйте на чужом поле.
","Не стоит спорить с поваром о тонкостях приготовления пищи, с филологом о литературе, или с программистом об операционных системах. Всё равно проиграете и будете глупо выглядеть."
"Если используете будильник на мобильном телефоне, а встаете утром с трудом — кладите телефон подальше от кровати.
Если используете будильник на мобильном телефоне, а встаете утром с трудом — кладите телефон подальше от кровати.
Если используете будильник на мобильном телефоне, а встаете утром с трудом — кладите телефон подальше от кровати.
","В таком случае уж точно придется вставать, чтобы выключить устройство."
"Брейтесь вечером, а не утром.
Брейтесь вечером, а не утром.
Брейтесь вечером, а не утром.
","Тот, кто бреется вечером, любит жену. Тот, кто бреется утром, любит начальника. Любите своих женщин."
"Перед сексом выключайте мобильные телефоны.
Перед сексом выключайте мобильные телефоны.
Перед сексом выключайте мобильные телефоны.
","Очень неудобно, когда во время этого дела Вас отвлекают от внимания."
"Не дарите цветы в горшках и домашних животных!
Не дарите цветы в горшках и домашних животных!
","Ответственность за кого-то, как снег на голову, не является подарком."
"Чтобы быстро снять напряжение с глаз — приложите к ним ладони.
Чтобы быстро снять напряжение с глаз — приложите к ним ладони.
","Ладони надо потереть, чтобы они стали теплыми, и приложить к закрытым глазам на полминуты. "
"Обязательно завтракайте!
Обязательно завтракайте!
","Все, что вы съедаете утром — за день вырабатывается организмом без остатка и идет вам только на пользу. А вот от ужина лучше лишний раз отказаться."
"Если вы часто бываете с маленьким ребенком в общественном транспорте — купите ему несколько пар бахил.
Если вы часто бываете с маленьким ребенком в общественном транспорте — купите ему несколько пар бахил.
",Не надо пачкать невинных пассажиров и нарываться на скандал.
"Ешьте больше свежих овощей.
Ешьте больше свежих овощей.
","Даже если у Вас не так много денег. Простая капуста, порезанная и политая растительным маслом, станет неоценимым источником витаминов в Вашем рационе."
"Прежде, чем бросаться искать утерянный предмет — хорошо проверь карманы и сумку. ","Это позволит потратить меньше времени и нервных клеток на поиски того, что все это время было рядом."
Отличная альтернатива покупным ароматизаторам в автомобиль — эфирные масла.,"Лаванда, эвкалипт или апельсин пахнут очень вкусно."
"Чтобы выгнать муху или бабочку из комнаты, открой дверь и выключи свет.","Большинство насекомых летят на свет, так что если выключить в комнате свет и открыть дверь в коридор, где свет горит, насекомое полетит туда."
"Идя в туалет по-большому, киньте на дно кусочек туалетной бумаги.",Немного бумаги предотвратит разбрызгивание воды.
"Пользуйтесь Скайпом и IP телефонией, сэкономите на межгороде.","Тарифы в сетях Skype, SipNet и прочих гораздо дешевле чем тарифы на междугородние звонки."
"Если в комнате много комаров, их легко поймать пылесосом.","От фумигатора они все равно сдохнут не сразу, будут летать пока не уснешь."
"Не стоит покупать товар, который рекламируют по телевизору.","В его цену заложены затраты на рекламу, а телевизионная реклама очень дорога. Найдите аналог и очень хорошо сэкономьте."
"Чтобы провода от наушников не путались, свяжите их проволочкой из комплекта. ","Оставьте провода столько, сколько нужно, чтобы достать от плеера/телефона до уха, плюс небольшой запас. Остальное свяжите."
Положите в багажник своей машины рулон туалетной бумаги.,"В какой-то момент очень может пригодиться! И не только по назначению, но и в качестве салфеток, например."
Не покупайте подарки в последний день!,"Приобретайте подарки за несколько недель до этого, сэкономите кучу нервов и избежите трудностей!"
"Выходя из лифта, не крутите ключи на пальце.","Рано или поздно они обязательно улетят в шахту, и доставать их оттуда будет исключительно непросто."
Гель для душа может заменить пену для бритья. ,"Если у вас случайно кончилось средство для бритья, поищите на полочке душевых принадлежностей."
"Если вам лень мыть посуду сразу после еды, то поставьте ее в раковину и залейте горячей водой.","Когда желание помыть наконец появится, вы потратите на это гораздо меньше сил, воды и моющего средства."
"Если постоянно опаздываете, переведите стрелки часов на несколько минут вперед.","Самообман, но все равно помогает."
За несколько секунд до входа в тепло с мороза снимите очки — они не запотеют.,"Держите очки за дужку, но не за оправу."
В отношениях старайтесь откровенно проговаривать свой ход мыслей.,"Скрытность или нечестность хороши только для тех, кто любит манипулировать людьми."
"Если в отношениях наступают нелегкие времена, не психуйте.","В любых отношениях бывают ""переломные моменты"", когда все не так гладко, как хотелось бы. Это проходит."
"Попав в новое общество, не торопитесь налаживать отношения и знакомства со всеми из его членов.","Побудьте пассивным наблюдателем несколько дней. Затем сможете определиться, с кем стоит заводить отношения, а кого избегать."
Не рожайте детей для сохранения отношений.,"Человек, которому вы не нужны, всё равно рано или поздно уйдет, а ребёнок пострадает."
Не делай татуировки с именем любимого.,Отношения с человеком могут продлиться всего несколько месяцев. Вывести татуировку может быть непросто.
В любом настроении оставайтесь доброжелательными по отношению к окружающим.,"Даже после тяжелого трудового дня, будучи уставшими."
"Не стоит влезать в чужие отношения, всегда останетесь в дураках.",Каждый волен сам разбираться в своей жизни. Незваная помощь приравнивается к вредительству.
Никто никому ничего не должен.,"Забудьте слово ""должен"".  Иначе действительно увязнете в долгах, да не только материальных, а ещё и моральных."
"Больше спите, больше пейте воды и ешьте фрукты.","Здоровый сон, вода и натуральные продукты сохранят вашу молодость."
