"Прежде чем выворачивать прикипевшую к патрону электролампочку, оденьте на нее полиэтиленовый пакет. ",Так осколки останутся в пакете и никого не поранят.
"Пятна на стекле от засохших белил соскабливают лезвием безопасной бритвы, следы свежей краски удаляют скипидаром. ","Если стёкла загрязнены мухами, их протирают денатуратом."
"Обивочный материал на мягкой мебели можно протереть чистой шерстяной тряпкой, смоченной в тёплом растворе любого синтетического моющего средства для шерстяных тканей.",Протирать мебель следует легкими круговыми движениями.
Стёкла очков следует протирать мягкой тканью.,"Оптические стёкла протирают ватным тампоном, смоченным спиртом."
При окраске оконных рам стёкла можно испачкать краской.,"чтобы этого не случилось, приклейте к стеклу с помощью липкой ленты или крахмального клейстера полоски бумаги."
"Чтобы хорошо отбелить белые шерстяные вещи, перед стиркой их замачивают на пару часов в растворе, содержащем 2 столовые ложки стирального порошка на 10 л воды.",Температура раствора не превышает 20°С.
"Пятна на изделиях из искусственной кожи нельзя удалять спиртом, бензином, ацетоном.",Тёплой мыльная вода годится для этого лучше всего.
Лимонный сок – прекрасная замена отбеливателю. ,Добавьте при стирке полчашки лимонного сока в воду и вернёте потускневшему белью яркий свежий вид.
"Для того, чтобы избавиться от запаха в банке промойте её тёплой водой с добавлением одной чайной ложки горчицы.",Также можно добавить немного соли.
Очистить труднодоступные места вазы и бутылки можно при помощи риса. ,"Насыпьте внутрь столовую ложку крупы, добавьте тёплой мыльной воды и потрясите."
"Пыль с обоев следует удалять с помощью пылесоса с мягкой насадкой или тряпкой, намотанной на щётку.",Особо загрязнившиеся места можно почистить тёплым белым хлебом или пшеничными отрубями.
Удалить шерсть вашего животного с мягкой мебели помогут резиновые перчатки.,Просто проведите влажной перчаткой по поверхности и вся шерсть окажется на ней.
Обновить деревянную мебель можно при помощи крема для обуви подходящего оттенка.,А для удаления царапин на мебели можно использовать ядрышки грецких орехов.
"Вернуть линолеуму былой лоск можно, отполировав его зубной пастой.","Также можно использовать зубной порошок, растворенный небольшим количеством воды."
"Если стены прихожей по цвету сделать однотонными и более светлыми, чем в комнатах, то создается впечатление, что квартира стала просторнее.",Темные же тона зрительно уменьшают пространство.
Лимоны помогут удалить пятна с деревянных и пластиковых разделочных досок.  ,"Места занимает немного, стоит недорого, решает проблему с большим количеством неожиданных гостей и с мытьём посуды."
Мешок для стирки подойдёт и для мытья всяких мелочей,Например можно мыть детские бутылочки или рюмки.
в посудомоечной машине.,Не забудьте удалить получившуюся муку и протереть сухим полотенцем.
"Чтобы почистить кофемолку, достаточно смолоть в ней горстку риса.",Это их отпугнет. Смоченные эссенцией лавандового масла ватные шарики отпугнут мух.
"Чтобы в доме не завелись насекомые, приготовьте раствор из воды и масла чайного дерева и опрыскайте им двери и окна, которыми насекомые могут воспользоваться как входом. ","Поставьте нижний стакан в горячую воду, а верхний наполните холодной. Они легко разъединятся."
"Если два стакана, вставленные один в другой, прилипли, их можно легко разъединить без риска повреждения. ","Если вы все же помыли стекла теплой водой, то ополосните их после этого холодной."
Не мойте стекла окон горячей водой: после нее остаются пятна и подтеки.,Вещи при этом служат дольше обычного.
"Чтобы во время стирки пушинки не приставали к темным вещам, перед стиркой выверните их наизнанку.",В туалете достаточно зажечь спичку.
"Неприятный запах в кухне можно устранить, если сжечь сухую лимонную или апельсиновую корочку.",Затем отполируйте мягкой сухой тканью.
"Если кафель потерял блеск, протрите его салфеткой, смоченной в слабом растворе нашатырного спирта.","Медные предметы можно чистить и солью, смоченной уксусом."
"Потемневшие изделия из меди и бронзы приобретут первоначальный вид, если протереть их сырым тертым картофелем.",Ваши пальцы будут целее.
"Когда орудуете молотком, доверьте держать гвоздь прищепке.","Если свечу плохо просушить, то она будет при горении трещать."
"Свеча будет дольше гореть и меньше растекаться, если перед употреблением ее замочить на час в соленой воде, а затем хорошо просушить.",Также можно использовать полиэтиленовые пакеты или пластиковые крышки от банок.
"Защитить пол от царапин при перестановках помогут носки, надетые на ножки столов и стульев",Соль лучше использовать мелкую.
"Удалите пятна накипи с утюга, прогладив им лист бумаги с рассыпанной по нему солью.","Соприкасаясь с вилками, лезвия ножей быстро тупятся и требуют частой заточки."
Ножи необходимо держать отдельно от других металлических предметов.,"Протрите металл смоченной маслом тряпкой, а затем натрите до блеска сухим бумажным полотенцем."
Оливковым маслом удобно чистить нержавеющую сталь. ,"Натрите их поверхность, дайте высохнуть. А через полтора-два часа сполосните водой и дайте высохнуть."
Ювелирные украшения удобно чистить кусочками бархата или вельвета. А потемневшие от времени золотые и позолоченные изделия может освежить сок лука.,"Если вещь можно стирать в машине, побрызгайте пятно лаком для волос, оставьте на 10 минут а затем протрите влажной тканью или губкой. После этого постирайте как обычно."
Удалите пятна губной помады с одежды при помощи лака для волос. ,Сомните фольгу в шарик и используйте его вместо обычной губки для посуды.
Алюминиевая фольга прекрасно подходит для удаления присохших пятен со стеклянной посуды. ,"Свечой можно также потереть петли на дверях, если они скрипят."
"Если молния на кошельке или сумке стала плохо застегиваться, потрите ее кусочком свечи.","Оберните кусочек абсорбирующего влагу мела марлей и положите в коробку, где храните столовое серебро."
Мел поможет уберечь столовые приборы от потускнения. ,Достаточно слегка потереть пилочкой пятно.
Небольшие пятна на замше можно удалить при помощи пилочки для ногтей.,Перед этим можно положить кусочек льда на примятое место.
"Примятые мебелью участки на ковре можно вернуть в прежнее состояние, «причесав» их вилкой.","Поставьте открытую коробку в шкаф, где хранятся простыни и полотенца и избавитесь от запаха затхлости."
Соду можно использовать в качестве освежителя для белья. ,"Засыпьте в сливное отверстие раковины полстакана соды, затем залейте полстакана уксуса. Сверху закройте отверстие влажной тканью и подождите 5 минут. Затем пустите горячую воду."
Устранить засор труб поможет сода. ,Нужно попробовать подложить под одну из ножек кусочек фанеры или картона.
"Когда дверцы шкафов, гардеробов или другой мебели плохо закрываются, это, как правило, значит что мебель установлена неправильно.",Графит разотрется в порошок и долго будет служить в качестве смазки.
"Если есть возможность чуть-чуть приподнять скрипучую дверь, то маленький кусочек графита, положенный в щель приподнятой петли, избавит от скрипа. ",Салфетки справляются ничуть не хуже.
"Прежде чем покупать специальные средства для протирания электронных устройств, попробуйте влажные салфетки. ","Обмотайте провод лентой из полиэтиленовой пленки, расплавьте ее огнем спички и разогретой массой изолируйте соединение."
"Если при ремонте электропроводки под рукой не оказалось изоляционной ленты, то выручит полиэтилен.","Поэтому начинать глажение лучше с изделий, для которых требуется самая низкая температура, например, изделий из синтетических тканей."
"Утюг нагревается быстрее, чем остывает.","Тереть надо тампоном кругообразными движениями, пока пятно не исчезнет."
"Пятна, появившиеся на полированной поверхности мебели от того, что на нее поставили горячий предмет, можно уничтожить, протерев их спиртом с растительным маслом.","Из дрожжей готовят на воде густую пасту, к которой добавляют немного варенья или меда."
Обыкновенные дрожжи - весьма эффективное средство для уничтожения муравьев.,"Сделайте это днём, так как свет лучше включать только спустя несколько часов."
"Если побрызгать несколько капель духов на абажур, то комната будет благоухать вашими любимыми духами.","Через  год вы поймёте, от каких вещей пора избавляться."
"Разверните все вешалки в шкафу «наоборот». Теперь вешайте всю одежду, которую будете надевать в течение года, в шкаф как обычно. ","Для этого пол нужно предварительно вымыть раствором бельевой соды, затем чистой водой и просушить."
Покрытие из линолеума можно покрасить.,Затем вымойте стёкла чистой водой и вытрите насухо мягкой бумагой круговыми движениями.
"Мутный налёт на стёклах можно удалить тряпкой, смоченной столовым уксусом.","Без сожаления расстаньтесь с ветхой мебелью, которой вы давно перестали пользоваться."
Пусть в комнатах станет просторно.,"На солнце и на ветру стекла быстро сохнут, и на них могут появиться радужные пятна."
Чистить и мыть окна лучше в нежаркую безветренную погоду.,"Так вы сможете найти их гораздо быстрее, чем в ящике или кладовке."
"Для вещей, которые вы не используете каждый день повесьте полочку над дверью в ванной.","Способ один - частое проветривание. Проветривайте комнаты, пока вы находитесь на кухне или на работе, не закрывайте форточку на ночь."
"Избавившись от токсичных химических веществ и предметов из них, приступайте к оздоровлению воздушной среды дома.","Однако, не переборщите с количеством мыла."
"Если вдруг нет антистатика, а юбка сильно ""липнет"", то это можно исправить, начертив сухим мылом решётку на её внутренней стороне.","Обычно с нижней стороны у чашек есть узкая полоска, не покрытая глазурью. Переверните чашку вверх дном и точите нож о донышко. Нож станет острее."
"Если у вас затупился нож, а под руками нет точильного камня, то вместо него можно использовать обыкновенную чашку.",Лук отлично заглушает все остальные запахи.
"Если вы дома устроили пьянку и разлили пиво по всей квартире, накурили, а родственники вот-вот вернутся — пожарьте лук!","Это гораздо эффективнее, чем пытаться прихлопнуть ее о поверхность."
"Если в комнате муха, можно убить её, хлопнув ладонями над поверхностью её посадки.",Соль обладает высокой гигроскопичностью и буквально высосет из часов влагу. И постарайтесь больше эти часы не мочить.
Если у ваших часов запотело стекло изнутри — положите их на ночь в соль.,"Потом их следует прополоскать, высушить и не гладить."
"Махровые полотенца и халаты будут мягкими и пушистыми, если после стирки подержать их в солёной воде.","Родной цвет утвари возвращается считанные минуты спустя после того, как вы протрете их тряпочкой, смоченной кетчупом, вымоете посуду теплой водой и насухо вытрете полотенцем."
Кетчуп прекрасно зарекомендовал себя как средство для чистки медной и латунной посуды. ,"Заварите несколько кружек крепкого чая, остудите его и вылейте в ведро. Инструменты нужно вымачивать несколько часов."
Ржавые инструменты хорошо чистятся черным чаем. ,"Не волнуйтесь, пятен на одежде не останется, но только в том случае, если вы сразу же бросите белье в стирку."
"Если на одежду прилипла жвачка, то с этим поможет справиться апельсиновое масло, которое нужно наносить ватным тампоном. ","Насыпьте в грязную пепельницу немного кофе, протрите влажной тряпкой и смойте."
"Кофе замечательно чистит пепельницы, устраняя неприятный запах. ","Перед тем как начинать чистить печку или камин, нужно набросать туда мокрой кофейной гущи, это убережет вас от пепельной пыли."
Использованный кофе хороший помощник в чистке камина или печки. ,Обычные чипсы отлично разгораются и заменят трут и бумагу.
Нет трута для розжига огня? ,Так он будет изнашиваться равномерно.
Дважды в год поворачивайте ковер на 180 градусов.,"Застарелые пятна удаляют замачиванием ткани на несколько часов в мыльном растворе, в который добавляют немного бензина. После замачивания чистят щеткой, смоченной мыльным раствором."
"Пятна от мух удаляют разбавленным нашатырным спиртом, после промывают водой. ","Вместо эфира можно использовать бензин, ацетон, скипидар."
"Пятна неизвестного происхождения протирают смесью винного спирта, серного эфира и нашатырного спирта.","На банку краски наденьте резинку от денег, так лучше удалять излишки краски с кисти."
Красите стены?,Вотрите в царапину крем и заполируйте кусочком ткани.
Глубокие белые царапины на полированной мебели очень легко сделать незаметными с помощью крема для обуви соответствующего цвета.,Обнаружить плавающие в стиральной машине деньги не очень приятно.
Всегда проверяйте карманы перед стиркой!,"Большой пожар начинается с маленького возгорания, а в обычной квартире средств пожаротушения никаких нет вообще. Не из чайника же поливать."
Купите домой на всякий случай небольшой огнетушитель.,"Утром гораздо приятнее просто щёлкнуть выключателем чайника и сонно упасть на стул, чем стоять, пошатываясь, у раковины и наливать в тяжеленный чайник воду."
Налей воды в чайник для утреннего кофе вечером.,Хлорка или уксус также достаточно эффективны.
Запах кота с любых поверхностей легко устраняется перекисью водорода.,"Подставлять ведра — малоэффективно. Хватайте пылесосный шланг и надевайте его на место аварии, другой конец перенаправляйте в ванну, унитаз или раковину."
"Если у вас сорвало кран и хлещет вода, не пытайтесь его заткнуть.","При сверлении стены пол обычно покрывается пылью. Берем пылесос, снимаем трубку со щеткой и конец шланга размещаем непосредственно у места сверления, включаем пылесос и сверлим — вся пыль будет всасываться, пол останется чистым."
Собрались сверлить стену в квартире? Приготовьте пылесос.,Также можно подложить под основание корпуса резиновую прокладку.
"Чтобы уменьшить шум и вибрации, исходящие от системного блока, попробуйте туже закрутить все крепежные винты на корпусе. ","Места занимает немного, стоит недорого, решает проблему с большим количеством неожиданных гостей и с мытьём посуды."
Держите дома одноразовую посуду.,Лучше не стирать домашних животных.
"Перед запуском стиральной машины дважды проверьте, нет ли там кота. ","Паркетные полы мыть нельзя, потому что вода попадает в щели, древесина разбухает и деформируется. Их надо тщательно систематически подметать, пылесосить, а в случае необходимости – протирать влажной тряпкой."
Никогда не мойте паркетные полы.,"Если испачкали пальцы суперклеем, то неприятные последствия удалит обычная пилка для ногтей."
Испачкали пальцы суперклеем? Пилка для ногтей вам поможет.,После этого жвачку можно будет очень легко снять.
"Прилипшую к одежде жвачку будет легче удалить, предварительно заморозив её в холодильнике. ",Так вы сможете оставлять напоминания другим членам семьи или себе.
Повесьте на стене в комнате или на кухне отрывной блокнот.,"Используется при трещинах на листах фанеры, пластмассы и т.п. Сверлить, естественно, нужно с той стороны, в которую трещина ""ползёт""."
"Чтобы трещина не ""ползла"" дальше, просверлите отверстие на её конце.",Тогда будет куда уложить внезапно приехавших друзей  или родственников.
Держите дома надувной спальный матрас.,Это лучшее применение пакетам.
"Не покупайте пакеты для мусора, если можете заменить их обычными полиэтиленовыми пакетами, в которых приносите продукты домой.","Через секунду после того, как вы на него ляжете, оно будет опять мятым."
Не гладьте постельное бельё. ,"В него очень удобно кидать всякий небольшой мусор, который непрерывно образуется в ванной после всяких умываний и причёсываний."
Поставьте в ванной маленькое мусорное ведёрко с крышкой.,"Это позволит вам определить, что распаковывать в первую очередь, а что подождёт."
"При переезде на другое место жительства наклеивайте на коробки бумажки с кратким списком того, что лежит в ней. ","Когда вода немного впитается, она размочит клей, и обои будут лучше отходить."
Чтобы старые обои лучше отходили от стены — смочите их губкой. ,Наклейка легко отойдет и не оставит следов клея.
"Прежде чем снимать наклейку, хорошенько нагрейте ее феном.",Достаточно просто прогладить несколько раз испачканное место через газету или салфетку и после протереть спиртом.
Избавиться от воска на ковре поможет утюг.,"Выдави тюбик крема и оставь на 5-10 минут. Это средство растворит волосы, которые засорили трубу."
Прочистить сток в ванной от волос поможет крем для депиляции.,"Надеваем шланг на трубу и быстро нагнетаем туда воздух. После этого нужно резко, но аккуратно вытащить шланг. Воздух выйдет вместе с водой и той пакостью, которая забила водопровод."
Прочистить забившийся водопровод поможет обыкновенный автомобильный насос.,"Запылится — сложите, чихните, выкиньте и положите новую."
"Чтобы не вытирать в будущем пыль с верха шкафа, положите на него газету. ","У большинства людей процесс закрывания двери в квартиру доходит до автоматизма, и стоит лишь задуматься о чем-то другом, Вы потом весь день переживаете, так как не помните, закрыли вы дверь или нет."
"Закрывая дверь в квартиру, говорите себе ""Я закрыл дверь"".",Вещь прослужит дольше.
Выворачивайте вещи наизнанку перед стиркой.,"Широко распахнув окна на минуту, можно быстро обновить воздух в помещении, не дав остыть поверхностям. Воздух потом быстро от них прогреется."
"В холодное время года проветривайте помещение, широко распахнув окна на короткое время. ",Так они прослужат дольше. 
Перед стиркой застегните все молнии.,Блокировка люка работает за счёт разогревания замка электричеством. После отключения электричества замок остывает.
"Если у стиральной машинки не открывается люк, выключите её из сети и подождите минут пять. ","Пыль осядет на простыне, которую останется лишь сполоснуть."
"Мягкую мебель можно вычистить с помощью выбивалки для ковров, не поднимая при этом пыли. Достаточно накрыть обивку мокрой простыней.","Это намного эффективнее тряпки. При этом не нужно часто выливать воду в раковину, лучше собирать в таз."
При затоплении быстрый способ собрать воду — черпать её противнем.,Риск обжечься от крана гораздо меньше.
"Проверяя горячая ли идет вода или холодная — лучше потрогать кран, чем воду.",При этом чем тоньше гвоздь - тем лучше.
"Если острый гвоздь предварительно затупить, вероятность того, что доска треснет, сильно уменьшится.",А еще эффективнее использовать гвозди с насечками.
"Если забивать гвоздь не прямо, а под углом к направлению древесных волокон, он будет держаться гораздо крепче.",Отмывать руки от таких растворов  чрезвычайно сложно.
"Не работай со штукатурным, цементным или клеевым раствором долгое время без перчаток.",Иначе рискуете рано или поздно получить разряд тока в пятку.
Не размещайте сетевой фильтр рядом с ногами.,"Посмотри, что на вас надето."
Загружаете стиральную машину? ,Затем дать высохнуть и провести пылесосом. Следов больше не будет.
